Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Gender_Female,Gender_Male,School_Type_Private,School_Type_Public,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,Learning_Disabilities_No,Learning_Disabilities_Yes,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive
17,94,1,2,8,65,1,4,2,2,6,1,3,68,True,False,False,True,False,True,False,True,True,False,False,True,False
11,78,2,3,8,51,2,2,1,2,3,3,1,64,False,True,False,True,False,True,False,True,True,False,False,True,False
20,77,2,2,6,87,1,0,1,3,4,1,1,66,True,False,False,True,True,False,False,True,True,False,False,False,True
14,66,3,1,7,96,2,3,1,3,3,1,1,63,False,True,False,True,True,False,False,True,True,False,True,False,False
23,77,2,2,7,79,2,0,1,3,2,1,2,66,False,True,False,True,False,True,False,True,True,False,False,True,False
14,81,2,2,9,81,2,1,1,3,3,3,1,66,True,False,True,False,True,False,False,True,True,False,True,False,False
29,61,2,3,7,52,1,3,1,2,3,2,1,67,True,False,True,False,False,True,False,True,True,False,False,False,True
15,78,3,3,9,75,1,1,1,2,1,1,1,65,False,True,False,True,True,False,False,True,True,False,True,False,False
18,91,1,2,5,76,2,1,2,2,3,1,1,68,True,False,False,True,False,True,False,True,True,False,False,True,False
25,87,2,1,9,52,3,1,1,3,2,1,1,68,False,True,True,False,True,False,False,True,True,False,False,False,True
13,85,3,2,6,89,2,0,3,2,1,1,1,65,False,True,True,False,True,False,False,True,False,True,False,True,False
21,96,2,2,8,64,3,2,2,3,0,2,1,71,False,True,False,True,True,False,False,True,True,False,False,True,False
28,61,2,3,6,86,3,1,1,2,3,3,3,65,False,True,True,False,True,False,False,True,False,True,True,False,False
10,82,2,1,8,70,2,3,1,3,1,3,1,64,True,False,False,True,True,False,False,True,False,True,False,False,True
21,91,3,2,6,100,2,0,3,2,2,3,1,72,True,False,True,False,True,False,False,True,True,False,False,True,False
22,82,2,2,9,61,2,2,1,2,2,1,1,65,True,False,False,True,True,False,False,True,False,True,True,False,False
25,73,2,3,8,53,3,0,1,3,5,3,1,66,True,False,True,False,True,False,True,False,True,False,True,False,False
13,65,1,3,6,99,2,0,1,2,4,1,1,61,False,True,True,False,True,False,False,True,True,False,True,False,False
12,96,1,3,8,62,2,2,2,3,3,2,1,68,True,False,False,True,False,True,False,True,True,False,True,False,False
23,79,3,3,8,82,1,3,2,2,3,3,2,69,True,False,False,True,False,True,False,True,False,True,True,False,False
22,95,2,3,6,69,2,1,1,2,3,2,1,72,True,False,False,True,False,True,False,True,True,False,False,False,True
22,83,2,3,5,82,2,2,1,3,3,3,1,71,True,False,False,True,False,True,False,True,True,False,False,False,True
22,87,3,3,5,80,1,2,1,3,3,1,1,70,True,False,False,True,True,False,False,True,True,False,True,False,False
16,92,2,3,5,85,1,1,1,2,2,1,2,68,False,True,False,True,False,True,False,True,True,False,False,True,False
21,86,1,2,5,51,2,2,1,3,2,1,2,67,True,False,False,True,False,True,False,True,True,False,False,False,True
22,76,2,2,8,92,2,1,1,3,4,1,1,68,True,False,False,True,False,True,False,True,True,False,False,True,False
16,81,2,2,8,74,2,3,2,2,2,3,1,68,True,False,False,True,False,True,False,True,True,False,False,False,True
31,92,2,2,4,76,2,2,2,3,4,1,3,72,False,True,False,True,False,True,False,True,False,True,False,False,True
23,75,1,3,6,71,1,0,2,2,2,2,1,65,False,True,False,True,True,False,False,True,True,False,False,True,False
13,76,2,3,5,99,1,2,2,2,4,1,1,66,True,False,True,False,True,False,False,True,True,False,False,False,True
24,64,2,2,8,90,3,0,1,3,3,1,1,65,False,True,False,True,False,True,False,True,True,False,True,False,False
14,97,2,2,6,66,2,2,2,2,3,2,1,67,True,False,False,True,False,True,False,True,False,True,True,False,False
25,64,2,3,5,89,1,2,2,2,4,2,3,66,False,True,False,True,True,False,False,True,True,False,False,True,False
27,86,2,2,7,72,1,1,2,3,4,1,3,69,False,True,False,True,True,False,False,True,True,False,False,False,True
15,77,2,2,8,94,1,0,3,3,3,2,2,66,False,True,False,True,False,True,False,True,True,False,False,False,True
26,76,2,3,6,52,2,4,3,1,3,1,1,69,False,True,False,True,False,True,False,True,True,False,False,True,False
22,87,3,1,7,68,2,0,1,2,2,1,1,67,False,True,False,True,False,True,True,False,True,False,False,True,False
25,63,3,2,6,71,2,1,2,1,3,1,1,66,False,True,True,False,False,True,False,True,True,False,False,False,True
31,84,2,2,9,87,2,2,1,2,3,2,3,71,False,True,True,False,False,True,False,True,True,False,False,True,False
19,91,3,1,6,59,2,5,2,3,4,2,2,70,False,True,False,True,True,False,False,True,True,False,False,True,False
15,93,3,2,6,64,2,2,2,3,4,3,1,71,False,True,False,True,True,False,False,True,True,False,False,False,True
15,67,2,2,7,86,3,1,3,2,3,3,1,66,False,True,True,False,False,True,False,True,True,False,False,False,True
15,96,2,2,7,54,3,3,2,3,2,1,1,67,False,True,False,True,True,False,True,False,True,False,True,False,False
20,86,3,1,8,60,2,1,2,2,4,2,3,66,True,False,False,True,True,False,False,True,False,True,False,True,False
22,95,2,3,9,88,1,0,1,3,2,3,1,72,False,True,False,True,True,False,False,True,True,False,False,False,True
22,79,2,2,9,94,2,1,2,2,3,1,1,68,False,True,False,True,True,False,False,True,True,False,False,False,True
25,82,2,2,6,86,2,3,1,3,3,1,1,69,True,False,False,True,True,False,True,False,True,False,False,False,True
20,97,2,2,7,76,1,2,1,1,3,3,1,71,False,True,True,False,False,True,False,True,True,False,False,False,True
29,96,2,2,9,55,1,0,2,2,2,3,3,70,True,False,False,True,False,True,True,False,True,False,False,True,False
18,78,2,2,9,91,3,2,3,1,4,2,3,67,True,False,False,True,True,False,False,True,True,False,False,True,False
36,71,2,2,6,56,2,2,3,2,2,1,3,69,False,True,False,True,False,True,False,True,True,False,False,False,True
24,76,1,3,8,69,1,2,2,2,1,1,2,65,False,True,False,True,True,False,False,True,True,False,False,True,False
15,76,3,3,8,53,2,1,1,2,4,2,1,65,False,True,False,True,True,False,False,True,True,False,False,True,False
14,71,2,2,8,85,1,2,2,3,4,1,1,64,False,True,False,True,False,True,False,True,True,False,False,True,False
23,71,1,1,9,75,1,1,1,2,2,2,1,63,False,True,False,True,False,True,False,True,True,False,True,False,False
19,94,1,2,5,95,2,3,1,1,2,1,2,69,False,True,False,True,False,True,False,True,True,False,False,False,True
24,63,2,1,6,57,2,1,1,3,5,2,1,64,True,False,True,False,False,True,False,True,True,False,False,True,False
23,87,3,3,8,91,3,0,3,2,3,1,2,72,False,True,True,False,False,True,False,True,True,False,False,False,True
20,67,1,2,7,76,2,0,2,2,4,1,1,63,False,True,False,True,False,True,False,True,True,False,False,True,False
15,74,1,3,4,68,1,3,1,2,3,1,1,64,True,False,False,True,False,True,False,True,True,False,False,False,True
11,62,2,3,5,82,2,3,3,2,4,2,2,64,False,True,True,False,False,True,False,True,True,False,False,True,False
17,71,2,2,8,90,2,5,2,2,1,3,3,67,False,True,False,True,False,True,False,True,True,False,False,False,True
25,91,2,2,8,72,1,2,2,3,0,3,1,71,False,True,False,True,True,False,False,True,True,False,False,False,True
21,95,2,2,5,62,3,1,2,1,4,1,1,70,False,True,False,True,True,False,False,True,True,False,False,False,True
13,69,2,1,9,96,1,0,3,2,4,1,3,61,True,False,True,False,False,True,False,True,True,False,False,True,False
21,79,2,3,7,66,1,2,1,2,4,2,2,67,False,True,False,True,False,True,False,True,True,False,True,False,False
22,79,3,2,5,100,2,4,3,3,3,2,1,72,False,True,False,True,True,False,False,True,True,False,True,False,False
15,95,1,1,6,88,1,1,1,2,5,1,1,66,False,True,False,True,False,True,False,True,True,False,True,False,False
21,91,2,3,5,84,2,1,3,1,2,1,1,70,False,True,False,True,False,True,False,True,True,False,False,True,False
20,81,3,2,6,51,3,3,2,2,4,1,1,67,False,True,False,True,False,True,True,False,False,True,False,True,False
13,87,3,1,4,72,2,2,2,3,3,1,2,67,True,False,False,True,False,True,False,True,True,False,False,True,False
22,94,1,2,7,75,3,2,3,2,2,2,1,71,True,False,False,True,False,True,False,True,True,False,False,True,False
23,60,3,2,8,69,2,1,1,2,4,2,1,66,False,True,True,False,False,True,False,True,True,False,False,False,True
26,76,2,2,5,57,2,1,2,2,4,1,1,68,False,True,False,True,False,True,False,True,True,False,False,False,True
26,96,2,2,7,68,2,3,3,2,3,2,1,74,True,False,True,False,False,True,False,True,True,False,False,False,True
12,90,2,1,6,54,2,1,3,2,3,1,1,64,False,True,False,True,False,True,True,False,True,False,False,True,False
14,82,2,2,8,65,2,1,1,2,3,2,1,65,False,True,True,False,True,False,False,True,True,False,False,False,True
23,81,1,2,4,54,2,1,1,2,3,2,1,66,False,True,False,True,False,True,False,True,True,False,False,True,False
23,74,2,3,8,88,1,0,2,3,3,1,1,66,False,True,False,True,False,True,False,True,False,True,True,False,False
23,81,2,1,4,84,2,2,2,2,5,1,1,68,False,True,False,True,True,False,False,True,True,False,False,False,True
23,77,2,3,6,69,1,1,2,2,2,1,2,67,True,False,True,False,False,True,False,True,True,False,False,False,True
27,89,2,3,6,89,2,3,2,2,3,1,1,74,False,True,True,False,False,True,False,True,True,False,False,False,True
26,94,2,3,5,79,3,1,1,3,2,3,1,74,False,True,False,True,True,False,False,True,True,False,False,False,True
24,66,2,1,9,82,1,1,2,2,2,1,1,62,True,False,False,True,True,False,False,True,False,True,False,True,False
18,78,3,2,5,77,2,2,2,2,4,1,3,66,False,True,False,True,False,True,True,False,True,False,False,True,False
25,76,2,2,5,89,3,3,2,3,3,1,3,69,True,False,False,True,False,True,False,True,True,False,False,True,False
15,87,2,3,10,52,2,2,1,3,3,2,1,68,False,True,True,False,False,True,False,True,True,False,False,False,True
17,86,3,1,5,55,1,2,3,2,4,2,1,66,False,True,True,False,True,False,True,False,True,False,False,True,False
20,95,1,2,7,64,1,2,2,3,3,1,1,68,True,False,False,True,False,True,True,False,True,False,False,True,False
34,77,2,1,7,80,1,0,2,2,3,1,1,69,False,True,False,True,False,True,False,True,True,False,False,False,True
9,96,2,2,4,82,3,0,1,2,4,2,1,67,False,True,False,True,False,True,True,False,True,False,False,False,True
24,100,3,3,6,86,1,2,2,2,5,1,1,75,False,True,True,False,False,True,False,True,True,False,False,False,True
10,64,2,3,7,64,3,0,2,2,4,1,2,60,True,False,False,True,True,False,False,True,False,True,False,False,True
17,69,3,2,9,83,2,2,2,3,4,2,2,66,True,False,True,False,False,True,False,True,False,True,False,False,True
27,98,1,3,7,56,1,1,3,2,3,2,1,73,True,False,True,False,False,True,False,True,True,False,False,False,True
20,98,2,1,7,50,1,1,2,3,2,1,1,68,True,False,True,False,True,False,False,True,True,False,False,True,False
14,64,2,2,6,85,2,0,2,2,3,1,1,62,False,True,False,True,False,True,False,True,True,False,False,True,False
16,61,2,2,9,86,1,2,1,3,2,1,1,62,False,True,False,True,True,False,False,True,True,False,False,False,True
24,66,3,1,8,81,3,1,2,2,4,1,3,65,False,True,False,True,False,True,False,True,True,False,False,True,False
16,100,3,1,8,63,3,2,1,2,3,1,2,69,False,True,False,True,False,True,False,True,True,False,True,False,False
21,67,2,2,7,96,1,3,1,2,2,1,3,64,True,False,False,True,True,False,False,True,True,False,False,True,False
20,80,2,3,5,94,2,0,1,1,4,3,2,67,True,False,True,False,True,False,False,True,False,True,False,False,True
16,94,3,3,9,76,2,0,1,3,2,1,1,70,False,True,False,True,False,True,False,True,True,False,False,True,False
33,61,2,2,7,99,3,2,2,3,3,2,1,70,True,False,False,True,True,False,False,True,True,False,False,True,False
24,84,3,1,7,65,1,3,2,3,3,1,1,69,True,False,False,True,True,False,False,True,True,False,False,False,True
8,71,3,1,8,75,2,0,2,3,3,1,1,61,False,True,False,True,True,False,False,True,True,False,False,False,True
21,94,2,2,7,96,1,0,2,2,2,3,2,69,False,True,True,False,True,False,False,True,False,True,False,True,False
16,71,3,2,5,73,2,1,2,2,0,1,1,63,False,True,False,True,False,True,False,True,False,True,False,True,False
25,87,2,1,7,74,1,0,2,3,4,1,1,67,False,True,False,True,False,True,False,True,False,True,False,True,False
15,87,1,2,4,54,2,1,2,2,6,1,2,65,False,True,False,True,True,False,False,True,True,False,False,True,False
19,69,2,2,7,61,3,3,3,3,4,1,2,66,False,True,False,True,False,True,False,True,True,False,False,True,False
23,61,1,2,9,58,2,4,2,2,2,1,1,63,False,True,False,True,True,False,False,True,True,False,False,True,False
25,76,2,3,4,78,2,2,2,2,3,1,2,68,True,False,True,False,False,True,False,True,True,False,True,False,False
13,72,3,3,7,66,2,0,1,3,4,3,1,65,False,True,False,True,True,False,False,True,True,False,False,True,False
18,92,1,2,8,54,2,1,2,2,3,1,1,67,False,True,False,True,False,True,False,True,True,False,False,False,True
17,92,1,1,8,75,2,2,2,3,3,3,1,68,True,False,False,True,False,True,False,True,True,False,False,True,False
16,78,2,3,6,83,2,0,1,1,3,2,1,64,False,True,False,True,True,False,False,True,False,True,False,True,False
31,84,2,2,5,87,3,0,2,2,3,2,2,71,False,True,True,False,True,False,False,True,True,False,False,False,True
22,84,2,2,6,92,1,0,2,2,5,1,1,69,True,False,False,True,False,True,False,True,True,False,False,True,False
12,93,2,2,9,74,1,1,2,2,3,3,2,67,False,True,False,True,False,True,False,True,True,False,False,True,False
26,77,1,2,4,70,1,2,3,1,3,2,2,65,True,False,False,True,True,False,False,True,False,True,False,True,False
33,71,1,2,5,84,2,1,2,2,2,1,1,68,False,True,False,True,True,False,False,True,True,False,False,False,True
26,71,3,2,6,51,1,1,3,2,3,3,2,67,False,True,True,False,False,True,True,False,True,False,False,False,True
